_id|name|lexKey|birthYear|deathYear
1|Jean Renoir|Renoir|1894|1979
2|Yasujiro Ozu|Ozu|1903|1963
3|Charles Chaplin|Chaplin|1889|1977
4|Robert Bresson|Bresson|1901|1999
5|Fritz Lang|Lang|1890|1976
6|Orson Welles|Welles|1915|1985
7|Jean Cocteau|Cocteau|1889|1963
8|Jean-Luc Godard|Godard|1930|
9|Ingmar Bergman|Bergman|1918|2007
10|Alfred Hitchcock|Hitchcock|1899|1980
11|F. W. Murnau|Murnau|1888|1931
12|John Ford|Ford|1894|1973
13|Preston Sturges|Sturges|1898|1959
14|Bernardo Bertolucci|Bertolucci|1941|2018
15|Federico Fellini|Fellini|1920|1993
16|Francis Coppola|Coppola|1939|
17|Wong Kar Wai|Wong|1958|
18|Carol Reed|Reed|1906|1976
19|Donald Cammell|Cammell|1934|1996
20|Nicolas Roeg|Roeg|1928|2018
21|Michelangelo Antonioni|Antonioni|1912|2007
22|Alexander Sokurov|Sokurov|1951|
23|Luchino Visconti|Visconti|1906|1976
24|John Huston|Huston|1906|1987
25|Stanley Kubrick|Kubrick|1928|1999
26|Alain Resnais|Resnais|1922|2014
27|Carl Dreyer|Dreyer|1889|1968
28|François Truffaut|Truffaut|1932|1984
29|Sam Peckinpah|Peckinpah|1925|1984
30|Bob Fosse|Fosse|1927|1987
31|Kenji Mizoguchi|Mizoguchi|1898|1956
32|Akira Kurosawa|Kurosawa|1910|1998
33|Alexander Mackendrick|Mackendrick|1912|1993
34|Luis Buñuel|Buñuel|1900|1983
35|Vincente Minnelli|Minnelli|1903|1986
36|Roberto Rossellini|Rossellini|1906|1977
37|Martin Scorsese|Scorsese|1942|
38|Rainer Werner Fassbinder|Fassbinder|1945|1982
39|David Lynch|Lynch|1946|
40|Woody Allen|Allen|1935|
41|Joel Coen|Coen|1954|
42|Michael Powell|Powell|1905|1990
43|Emeric Pressburger|Pressburger|1902|1988
44|Stanley Donen|Donen|1924|2019
45|Gene Kelly|Kelly|1912|1996
46|Roman Polanski|Polanski|1933|
47|King Vidor|Vidor|1894|1982
48|Billy Wilder|Wilder|1906|2002
49|Pedro Almodóvar|Almodóvar|1949|
50|Josef von Sternberg|Sternberg|1894|1969
51|Max Ophüls|Ophüls|1902|1957
52|Sergio Leone|Leone|1929|1989
53|Francesco Rosi|Rosi|1922|2015
54|Andrei Tarkovsky|Tarkovsky|1932|1986
55|Budd Boetticher|Boetticher|1916|2001
56|Eric Rohmer|Rohmer|1920|2010
57|Alexander Dovzhenko|Dovzhenko|1894|1956
58|Joseph H. Lewis|Lewis|1907|2000
59|Jacques Tourneur|Tourneur|1904|1977
60|Marcel Carné|Carné|1906|1966
61|Anthony Mann|Mann|1906|1967
62|George Stevens|Stevens|1904|1975
63|Buster Keaton|Keaton|1895|1966
64|Alice Guy-Blaché|Guy-Blaché|1873|1968
65|Lois Weber|Weber|1879|1939
66|Lillian Gish|Gish|1893|1993
67|Frances Marion|Marion|1888|1973
68|Nell Shipman|Shipman|1892|1970
69|Dorothy Davenport|Davenport|1895|1977
70|Dorothy Arzner|Arzner|1897|1979
71|Ida Lupino|Lupino|1918|1995
72|Shirley Clarke|Clarke|1919|1997
73|Juleen Compton|Compton|1933|
74|Barbara Loden|Loden|1932|1980
75|Barbara Peeters|Peeters|1943|
76|Stephanie Rothman|Rothman|1936|
77|Elaine May|May|1932|
78|Penny Allen|Allen|1953|
79|Claudia Weill|Weill|1947|
80|Joan Tewkesbury|Tewkesbury|1936|
81|Anne Bancroft|Bancroft|1931|2005
82|Lee Grant|Grant|1927|
83|Jessie Maple|Maple|1947|
84|Kathleen Collins|Collins|1942|1988
85|Lizzie Borden|Borden|1950|
86|Lynne Littman|Littman|1941|
87|Penelope Spheeris|Spheeris|1946|
88|Zelda Barron|Barron|1929|2006
89|Joyce Chopra|Chopra|1936|
90|Donna Deitch|Deitch|1945|
91|Randa Haines|Haines|1945|
92|Sondra Locke|Locke|1944|2018
93|Janet Greek|Greek|1949|
94|Karen Arthur|Arthur|1941|
95|Mary Lambert|Lambert|1951|
96|Marisa Silver|Silver|1960|
97|Tina Rathborne|Rathborne|1950|
98|Euzhan Palcy|Palcy|1958|
99|Dyan Cannon|Cannon|1937|
100|Barbra Streisand|Streisand|1942|
101|Julie Dash|Dash|1952|
102|Nancy Savoca|Savoca|1959|
103|Allison Anders|Anders|1954|
104|Maya Angelou|Angelou|1928|2014
105|Lisa Cholodenko|Cholodenko|1964|
106|Cauleen Smith|Smith|1967|
107|Tamara Jenkins|Jenkins|1962|
108|Kathryn Bigelow|Bigelow|1951|
109|Bette Gordon|Gordon|1953|1955